Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
45250,160300,215400,17000,33300,34700,22900,18500,140878100,64200,47900,10400,130131600,38300,114223200,18600,136918700,34500,132079700,11200,112897300,54844700
45500,160200,254900,19100,32400,47200,23100,17700,142843200,72600,51500,9500,115795400,39300,110560000,19300,133545300,34400,132906300,12900,112897400,54523500
45750,233800,292300,19100,32800,36100,25400,19400,149054400,62700,50000,11400,131217800,39900,138629000,19900,152632000,36800,135071300,8800,113409100,54506500
46000,157600,341700,19900,32700,36500,26400,18800,148817400,61300,49200,10900,129170800,40000,112911100,19600,130394100,32600,134440500,9100,116151600,54737600
46250,157500,120800,18500,33400,36100,24800,17700,149630500,65900,52100,12100,130114300,82400,120476000,18200,124354300,31000,136682800,15700,117825400,55224800
46500,166900,119700,17200,34500,35400,30900,19200,151141900,68100,50800,11900,125822400,105700,117051900,19300,147461200,33200,139421700,22200,116664700,55761800
46750,172300,124900,17100,34000,142600,31200,18900,148460000,67300,51100,10400,127915600,300200,117697600,18200,126286700,32300,137066500,7100,116497600,55877100
47000,155600,120800,16400,36900,84800,102100,18000,152540000,63100,83600,11600,125727800,92800,120370300,18000,136023700,51900,137253300,8200,119247300,56852700
47250,150400,122300,18500,35700,96600,13600,19900,154382300,65400,56800,12000,127775100,93700,119901900,19000,130336000,33000,135960300,8200,120932200,56700500
47500,152000,123000,17500,40500,81500,14400,18600,157901100,62500,50600,10900,137236900,101800,128179000,20300,141794900,31900,137895000,9000,120611500,56576700
47750,149800,124600,18700,94000,77100,13200,17500,158324400,67100,51700,12300,133834900,70300,132001500,18800,144731500,32300,138519200,8900,119672600,57144100
48000,154900,123000,18800,81700,73500,14000,21300,164914800,68100,51800,10600,131844200,89500,140408200,20400,152655900,34200,140695800,9400,120746100,57357600
48250,208700,123900,18000,63100,90800,15600,19200,165554000,67500,49900,10000,134871400,72100,120681700,21400,146267200,32600,140258800,8500,121670700,58216200
48500,207600,126200,18600,68800,101300,14500,20600,164452000,66600,51000,10500,138305200,56800,128205000,18100,153749700,31700,143232700,8600,122658100,58954900
48750,153600,143600,18900,76000,81800,14700,20000,169770000,68100,49500,11200,138463100,75000,139306300,19700,140201200,34500,143705100,8100,123545300,59785700
49000,150800,127800,19100,66300,73400,14800,17200,176099100,66000,51600,12600,145869300,92700,136948600,18600,138454800,32200,143313400,8800,126023200,62651400
49250,149500,126800,17900,75800,63900,16100,20700,171938300,70000,50100,11400,145534400,71500,137924100,17800,142769700,34200,143867600,9600,126368800,60606400
49500,152700,141000,20000,82900,82900,16200,18100,179475500,66400,48000,9100,142217000,71000,134298400,17500,169430200,33300,144686200,7200,127620600,62848100
49750,147700,129000,18900,83800,267700,15800,18600,175973700,66800,51100,10600,143079400,97000,147256500,18400,154518100,31600,145567700,8900,127521100,63975400
50000,148100,127700,20800,68700,295200,16300,18800,175814900,68400,48300,11200,160871900,46700,127196400,18400,152560000,30500,176229700,8500,127272300,62330900
50250,151800,127100,20700,60000,212400,17400,21700,179186200,68500,49800,10300,146881500,46600,135151100,17000,154230600,31100,147484300,8800,132041100,61748100
50500,146500,125000,20400,51800,74900,17400,22900,184226200,66600,52400,10500,144652200,44600,138103400,16800,149472200,31800,154217500,9100,128702600,64667100
50750,146900,126900,19300,66200,64500,17100,22500,179489800,65500,49000,10400,153054000,51700,151197200,42400,164183400,34700,151569500,8500,130701400,61449700
51000,143500,126800,17300,55500,99100,16200,19400,188587300,69700,52800,11000,146871000,46800,148325700,17100,160938100,32700,148405900,7800,131219600,61439700
51250,146800,127200,18000,245800,180700,16300,26900,186554600,69800,51300,12000,151038900,83900,136706300,16300,156084800,29000,151025000,9400,132247300,62575100
51500,168000,126700,18900,185500,141600,16100,18900,187135400,68500,51400,10600,155788100,132600,135661100,19000,159770200,70700,159563600,8100,133678300,63965300
51750,171700,128000,17000,120500,82400,15000,18500,193793800,65100,53400,10300,146986500,112000,159756400,17800,155295000,49600,164967000,7700,134804600,62591100
52000,145500,126500,18100,59900,56200,14500,20700,194699300,66300,48500,11000,156777500,66200,137263000,19000,155196200,56300,172415700,8800,134032800,63615500
52250,146400,130000,16200,54400,64300,15900,20500,196522900,66300,50900,11300,157424900,40700,143066400,18100,165526100,41200,153438600,8500,134164800,64321000
52500,150600,130500,18300,43000,52100,15700,19300,191255700,67400,53600,10300,153345700,40500,157168400,18400,170338400,47000,155906300,10400,135233700,65996400
52750,147000,129100,17900,40200,43400,15700,21800,192040900,71600,85700,11500,183698500,50800,159110500,19400,157371800,34500,159966400,8800,138151800,65285300
53000,148500,130800,18100,37700,44200,17600,18300,201924000,68700,51800,10700,171606800,40900,146545100,17300,170241200,34900,160383800,8600,138904700,67243000
53250,231000,132300,18100,42900,46200,16700,31500,210557300,83000,53300,12300,179994000,42300,151592400,17600,175591500,32300,157621300,8400,137334300,65553800
53500,249000,130900,20500,38700,42100,16500,26000,203711100,69900,51500,10900,163943600,41200,147671500,16900,170933400,31500,157006500,8600,138645700,67902100
53750,231700,127800,19200,39000,60800,16700,20300,205549200,68500,53600,10300,167265300,40100,154705700,17300,190733800,32400,158962000,7500,141756900,66546100
54000,151000,129900,19900,36700,40100,15900,20400,203209500,64800,54600,10400,163801000,39700,190679700,18600,176711300,31000,158947300,7300,140523000,66549200
54250,146800,133900,18700,40200,43200,19100,21000,211284100,69800,51600,10600,179439700,42000,157413200,18000,181852500,31000,158011900,8300,141781000,67026900
54500,217900,134000,18700,41400,40300,14400,25100,213719100,67900,54800,11400,190259700,38500,177040600,18400,187462600,30000,160236200,7500,144695400,67685300
54750,260400,131600,19400,44500,41100,15700,26900,213176800,66400,52600,11100,163470300,39800,170815300,15700,182875700,31600,163672500,7900,144214300,67824600
55000,228400,133200,19500,41800,42100,17100,22500,213081800,66500,50700,11000,179487600,64600,166198700,17900,170573300,29100,163566900,6900,145955900,68101800
55250,147800,133800,18400,43100,39200,17700,27600,224580500,67900,57000,11800,173482900,47200,173112100,19600,201310100,31200,164054000,7700,144778200,68954500
55500,145500,135000,19900,56500,40300,49300,23500,223421000,72000,55200,11600,189097100,45200,191464300,17700,210869200,33200,166393600,8000,145485200,69943300
55750,144200,169300,20600,42100,39600,72700,20800,219940600,74800,54200,11200,213108300,50500,184380700,20400,182069700,32600,165113800,7900,150464300,69813700
56000,246800,135300,18200,37200,48500,57700,22500,228890800,70800,54000,11000,212507100,43600,179313500,19300,188382300,31200,169238500,9200,146548700,71129700
56250,540300,136600,18700,33600,45400,20500,25100,223277700,68600,53100,10100,185413100,41900,176462600,20000,184628700,31400,173035500,7500,150471500,71783700
56500,768300,134100,19300,33700,46000,15200,22900,239486800,68900,56400,11400,186565200,42900,188478900,17600,222820800,32600,171783800,6800,153691300,71686200
56750,479500,139200,19300,33900,48100,18100,23600,236209900,69200,53200,11000,184319400,40000,175470500,17400,194485000,35000,169950000,8800,151101300,74399200
57000,477000,139000,19300,34800,46400,17600,21700,234930300,70800,56000,9900,199823400,42200,192958700,19000,205702500,31300,170757200,8100,149936400,72377000
57250,324900,137500,17800,32500,50100,19100,25100,229647600,65200,51100,11100,187685800,42100,168712900,18000,211515400,32400,170273000,7700,152335700,75002800
57500,276800,139800,17300,32100,44500,60700,33700,232947200,66500,53000,13700,194581400,39200,178817600,17600,197388600,32400,173611700,7400,153601700,73960600
57750,253200,138600,17000,33500,49100,61700,31800,245409400,483700,54100,12100,192758100,137300,187162700,19300,232118100,33000,173840200,8300,152708400,73894500
58000,207200,142300,17900,32300,62600,56900,59100,238762500,328100,55000,11200,197985500,114100,195591600,17600,229908900,30600,175642100,7300,156429700,74678500
58250,220400,137400,17200,34300,49100,55700,99900,239046800,228400,53000,11000,226112700,78700,215147900,18600,228114200,31300,176426000,10400,157380100,76113500
58500,193400,141700,18300,34300,44300,56200,84300,240005200,241300,53000,10500,347110900,42600,195324200,41700,236503000,30700,176468200,7900,158081400,77033800
58750,190400,142200,17700,33100,39700,22100,119600,245509700,149600,51400,11700,265243300,43700,207118400,20000,259315100,31900,178213100,8300,158630900,77067100
59000,189500,145000,19000,35200,42100,16000,90900,247682900,107000,53800,9500,289899100,63700,218292800,21100,276380700,33000,181917600,7900,159824100,77959100
59250,178700,141700,18800,55600,48900,21100,29700,242173600,112800,53700,10700,261178100,42800,190761700,23200,238191800,35900,182583100,9600,160962900,78279000
59500,281300,145000,19100,36100,36100,18700,22900,243101200,96700,53500,13300,213073500,41600,226510200,21400,239631400,32300,181158400,8100,164169700,80699700
59750,176200,142300,17300,35000,40000,19900,22400,258208000,95600,57700,13300,206505200,43600,190919000,17200,244466300,31600,182913000,7900,167136100,79665300
60000,176600,144400,18500,36200,36800,17300,23300,252867400,100900,57000,11900,213806100,39800,201885000,19900,249807200,30000,187310000,8000,165372000,80854000
60250,195000,155400,19200,38000,43100,18100,24200,245915300,110200,51700,11000,223347000,42800,206516400,19000,247002700,32600,183914500,8600,163798800,80916100
60500,180100,198200,18400,77000,39000,15700,21000,256533400,110500,57500,12300,222572400,40700,213844200,21200,230909200,47800,190221800,7000,169422000,83972700
60750,173700,144300,19300,53900,37700,17400,24600,265122300,111300,54900,10400,214201600,43200,249582100,64500,270701500,40100,185381000,6800,165369600,82070600
61000,172500,147400,19300,36800,37400,18500,22100,263747100,104900,55600,10700,213952600,42000,221454500,58900,262552900,36200,185365500,8500,167865300,86106700
61250,191900,145600,19000,77000,36900,16400,21300,264703100,109600,54200,11200,241431100,39800,210484700,36100,243615000,36900,185143100,7500,170249600,82039700
61500,171100,146700,18800,150900,36800,18000,23800,264198800,89700,52100,11100,231604500,41000,229181800,19900,247547700,34700,188521000,7700,167944200,82285100
61750,173100,153500,19900,38900,39900,18600,24500,263138900,103400,54200,11600,228828400,41900,266325900,20400,280041200,35300,191036200,7700,169014400,82432400
62000,168700,149200,20000,43100,39600,24300,21600,264973500,117800,54600,11000,222854900,43800,235502600,22500,262979700,38300,191974100,7500,169954100,84403700
62250,171900,150700,18900,37600,37900,20600,25800,258937200,129300,53600,11800,239280500,41000,219000000,45300,275029500,35600,191659100,8500,170943200,86066700
62500,169500,147500,19400,39700,49100,15300,22700,301238900,99900,60000,11300,231957200,42200,249071900,68900,257377400,34800,194589000,7900,175125900,86550600
62750,166300,155900,19500,34500,49700,14600,26200,276664500,102700,59100,11300,253792700,44600,242126900,72200,285570800,89700,194968700,8900,174393000,86024600
63000,163200,152500,18600,33900,49400,17400,29900,272323800,109700,60400,10500,231638500,40400,243819600,52600,270172200,36300,196100600,31300,176967700,88281200
63250,163100,152800,18700,34200,49800,14800,35000,294431200,101400,62400,11600,233169400,40800,236529500,55400,264635200,41400,199959200,9200,175288300,86429700
63500,186200,158800,20600,33200,45300,16200,25300,290778700,96600,61500,10900,260577900,41100,229196700,20800,272042700,39300,198544100,7500,176004900,90956600
63750,254900,156000,19400,34700,45500,16800,31600,282518400,99800,61100,10700,237526500,40600,256471800,30000,325137500,35700,195152800,8300,179109800,91483600
64000,166900,157900,23500,33600,43800,18600,25400,277422800,101400,59500,10700,241247400,44200,273064900,39800,294623600,38600,197924000,8600,181596300,90810400
64250,161300,163000,23500,36200,48000,18200,29100,282722500,102500,63400,10900,235463900,45200,254715000,77000,295141200,38000,202066600,10000,188851400,90711000
64500,162500,164000,19500,35300,48700,15600,21000,290992100,131700,63100,10100,264428100,42600,272382200,107300,325576500,38500,205444200,7200,181981100,91610500
64750,167900,214400,19600,33000,51000,18200,46800,321633700,110700,62600,9100,292896400,40600,293804000,43000,307823800,37700,201425000,8200,187967200,94319800
65000,161600,170400,18900,31800,50600,16700,15100,335674600,99500,62300,10700,254704100,42900,259897100,21700,300829100,37900,202039600,8700,184537600,92323100
65250,163200,166900,20400,32500,39300,19800,15400,333459600,217200,63700,9600,253645100,42300,302980600,23200,280581000,37200,205329400,8300,184319800,95704000
65500,165400,173100,20500,35400,44100,20200,17100,305135700,190500,57800,10800,299329300,43300,344066000,49600,279994700,37400,207358500,7000,188350000,95212700
65750,159600,173600,18700,35500,50100,17700,16900,310225000,142900,63800,12100,249171900,43300,334633100,43700,309079800,2690800,213444600,8900,187367900,96415800
66000,161000,173100,17800,36600,48800,16300,16900,336070200,91100,60500,11700,265105300,42900,329126100,45700,267810900,42200,212480000,8100,187308500,96182800
66250,199100,176400,17500,33900,49000,19400,16600,322692100,97300,62400,10500,257854700,43200,287915500,24600,325574300,36700,210021900,8400,186737900,95284500
66500,247200,172200,17500,32500,50000,18600,15700,325059400,96000,63900,12200,268410900,41800,341833500,24800,286181900,35100,211916700,8300,189768400,97378200
66750,260400,180000,15300,33900,65600,15200,16900,324253200,96500,65100,10200,275008900,43400,296206300,23800,302757300,35800,216036300,7600,189915700,95570800
67000,245000,182900,18500,33900,44200,20200,17600,317278000,95200,64900,10400,278118000,74700,816071200,25300,356272700,38100,216001200,7400,193892100,97538000
67250,159800,191800,17800,32000,43400,18500,15800,308398600,116800,75200,9900,310975200,122700,766828300,24700,288254500,35700,216233100,7000,192659100,98261500
67500,162200,198100,17500,31100,41100,19800,16400,340588900,100500,62500,10400,352370300,115400,775641000,28900,301117900,32300,216867800,8700,192173400,98965300
67750,158000,321900,18500,32600,41900,19900,15600,321782900,121700,62800,10900,301614500,127600,432593600,36200,300060300,32900,216587000,7600,196433900,103291000
68000,160400,424900,20600,62100,38400,20400,16300,319323200,127700,62000,10300,303072100,115900,283268100,27300,362246300,32300,223470800,8500,199434000,102477200
68250,156600,229000,16900,134800,38600,23700,14800,316955900,116600,67200,10800,298427600,107700,344997000,28900,303469500,34000,217307400,8900,199138200,102419700
68500,197000,222100,16400,156100,37800,23300,18400,331983300,114000,78300,10000,298400700,44400,320092000,22100,304805100,32100,220223900,7900,198203100,102206100
68750,178500,283800,17500,142500,37700,19400,15100,350076600,116900,79100,11200,282476400,42700,299717100,31600,352547100,32400,220374200,8500,200297700,103946800
69000,249700,285900,17000,33600,37700,19700,16000,328176600,128500,62800,11400,307037100,40700,308120300,35000,318027500,33800,224183700,8300,199269300,107957700
69250,307700,309100,19200,34900,38700,16800,15900,341144400,112300,63500,10300,292838200,44900,329593200,58200,376977300,32400,226277600,7900,202339200,103691100
69500,243900,215800,17000,106300,38300,18300,16300,324607800,112400,64100,10600,289058400,59900,297959500,35300,506054900,31700,220620900,7800,200232000,104068400
69750,161500,287900,17100,85100,137500,15700,17600,349593800,117000,64000,10100,320855300,118100,305792400,55100,580941200,31200,223772400,8400,200557600,104848000
70000,157700,204800,16500,33900,69800,17000,16300,336473500,114400,66300,10300,339900700,129400,317346500,41200,388406600,31200,225960500,8600,203432700,105977900
70250,162400,143400,16500,35800,69300,17400,16700,344537800,121800,65600,11400,298306000,127200,318805500,55300,380653700,32100,230080100,8200,203564500,105480400
70500,158700,147400,18200,32700,152300,20000,18600,347846600,109000,66200,11000,337767900,132500,308115800,29600,354749100,31800,229086300,7800,207168800,105042000
70750,154800,149100,16200,34500,104200,17400,15800,346114400,104800,67500,10200,305669400,116200,367401100,39100,345226400,32100,228421900,9000,204200200,108647300
71000,159200,148400,17500,33500,84100,15600,15000,335979100,130200,65500,10900,303681600,117500,337802500,24400,363619800,31600,232447700,8500,205301500,107923200
71250,155600,148500,18000,65000,67000,14300,17000,357284500,108400,68300,11600,336878400,125700,301534100,26200,367152400,32300,232569200,8600,207453500,108394300
71500,157100,146500,18600,52600,70600,16400,15600,348236300,108200,67200,10100,507586200,68000,323459700,27100,384426100,31800,237023400,8000,206405000,109700400
71750,220000,148300,18200,32000,85700,13800,16500,341934700,102100,64400,10400,367489600,42200,343611000,27500,368929400,32000,231429400,8300,210453300,108231300
72000,198500,152000,16900,33600,74800,17500,15300,376762000,109800,66000,10700,392082100,40900,331944100,28800,370025700,31600,237203800,9200,218656600,110915400
72250,160200,147300,17500,34100,66700,18900,17800,351444400,108700,68700,10900,392035400,40700,350902200,38700,341344900,30100,235513600,8700,210605100,110006100
72500,156800,151200,17700,32300,53400,15600,16200,352874600,104500,64400,10600,350827900,40800,346715200,26200,395477000,30300,239115500,7600,215700200,111691800
72750,230300,149800,18500,30900,100000,18000,17600,364169300,98500,67700,13200,332387100,40300,351059300,39100,389738200,30600,237057100,8100,215172400,111202800
73000,435400,147700,19300,33100,220000,18100,18400,363822000,105800,68100,11000,357507200,41100,409388300,40200,372069700,29700,236324300,9300,216131300,111463600
73250,1215200,152200,17900,32100,147600,15200,17000,356121700,98300,68200,10300,329962500,40200,367398400,60200,388322400,30600,241616200,9600,217287300,114392900
73500,482100,154000,18100,31800,59900,16900,18200,374205900,96100,131400,9800,335742000,41500,358526000,51900,363163900,31400,241524100,7900,217967100,112682000
73750,456600,157400,18700,31300,55600,17800,17500,367665800,94600,69900,11700,329073400,40800,360378400,56700,385138000,28500,245194600,7900,218585000,113109500
74000,360100,155600,19100,32000,52700,15600,18600,387323200,103900,64200,9800,335982100,39600,352721900,58000,387620300,47600,241199300,8100,218828500,114625400
74250,408000,158400,18100,56800,99400,17300,16100,373193900,100400,67200,10300,380129600,39500,370678700,61000,380162700,85100,243178900,7700,219223600,116271100
74500,339800,161100,19000,80200,92600,17300,16500,374126400,99000,68100,9600,356451800,42900,384448400,42100,387839500,69400,253621300,7800,226828600,115037600
74750,514300,155200,19400,49400,130500,18600,16500,398133000,95300,69900,24600,364360400,41700,363808700,40400,462265400,52500,244330700,6100,220713500,116076000
75000,512100,156200,18800,70500,99800,17500,20100,376089500,98800,67900,9900,367600800,40300,421586500,37000,415977100,55800,245398200,8700,224238300,116248800
75250,415400,161100,19000,80600,62100,17000,19900,414912700,92700,68600,10100,338819000,82600,373150200,54400,418360200,45100,249266100,7800,225481300,117172500
75500,339400,160600,20000,49500,51600,18000,21200,388579900,95200,68300,10000,359130500,114000,381194000,38100,381439200,362500,251623200,7500,226203100,118736200
75750,363300,159900,19500,55100,57200,21600,20300,378296600,126800,69900,11000,416081900,124600,400963100,42800,416053800,32300,247634400,7000,226130000,121738600
76000,324300,158400,19100,64600,63000,20800,20800,413277300,95400,72200,11400,347759400,42100,355453300,35400,400297100,31700,250680600,6900,225030200,118574100
76250,362100,159000,18500,54300,61800,51900,47900,393535800,98800,71200,11600,400726100,40900,424121700,35200,436088700,32300,249474500,8600,226856800,119983000
76500,367200,166000,17900,58800,52500,76500,19500,379238300,117800,71900,10100,373344700,42200,425572900,38600,416384300,32800,255707300,7500,228851100,121683600
76750,364400,165000,18900,58900,43400,94300,26300,407076800,94100,66500,10500,386932200,42600,421142900,39500,441419500,29900,253272700,7800,227653800,122286500
77000,321600,167700,18700,70100,42400,89300,76400,385027500,97200,69700,12200,388016000,43600,432371300,39300,452286000,31100,256329400,7500,230092700,122771800
77250,324100,194100,18000,67700,41600,117500,132200,400092800,94200,71000,10500,422681700,39800,461472000,36500,411091000,30800,255012100,8500,232755000,123178800
77500,326000,164700,19200,65100,273200,79400,42000,392950200,113600,67700,11900,381913300,42000,417812500,56100,454427800,32900,263328100,8100,230686100,123741700
77750,324400,170100,18300,60400,204000,20400,37500,404384900,94900,71300,12500,361916500,40100,380971400,42000,410069400,30000,254470500,9200,234305400,130170800
78000,366200,167400,19600,61100,50500,23700,45700,407697900,98100,68700,10800,398709700,41400,418438000,30600,450441900,30900,257844700,8800,232500900,123594100
78250,319800,169400,19100,184700,48500,20800,81200,399479200,95400,73300,9900,432567400,41200,428473600,30100,461867200,30300,259827600,7900,234684700,124166200
78500,316200,172800,23200,175700,149200,24400,70800,400383800,97000,73900,10100,398713200,42300,450015800,36300,433497000,29500,262408300,7000,237035700,124613900
78750,316700,174900,18000,136400,86700,26800,53400,403716300,96800,70800,11800,402761600,38800,463458100,36000,434627600,30000,263269100,8200,236718500,125596100
79000,379500,174200,17600,114500,50400,31700,57500,416578200,98900,72000,10700,401777800,39900,419632000,39400,406690900,28100,266024300,7400,241660600,127930800
79250,497700,206100,16900,48600,110200,38200,59800,425307200,97500,74400,10700,432156100,41700,444486500,38900,447014800,29900,265698700,8100,239428400,129835200
79500,474600,181600,18200,40200,50400,73800,18300,403391000,93100,74300,12800,455456000,42800,433557600,35700,472770600,29100,270512800,7600,243484200,128740400
79750,395800,179700,16500,54700,45600,28100,20400,441530000,95300,74000,13300,398232500,105400,430309900,37400,457458800,29500,264498000,7400,242917300,127496500
80000,317500,179600,17600,48100,43000,26200,22400,419183800,89500,73500,10900,449603000,126500,451964100,37500,500228500,29300,266359500,7600,241387900,127740000
80250,312700,175600,18100,44100,40700,27700,21800,425836200,91700,76300,14400,401819600,114400,468845600,38000,511993000,29400,267625000,7600,244213700,127812100
80500,318000,181400,17600,47500,58300,20800,20300,423265800,94400,75000,13800,407303000,115700,462694600,34100,500079200,29900,275507200,7300,244168700,130329900
80750,311100,188300,16300,61200,50100,25500,21500,427412900,90300,74200,14600,425502400,125900,416367400,38200,466167400,30400,272746800,9400,243925900,129683000
81000,311500,186200,19000,127300,43800,24300,18400,431383000,92400,77700,14300,401815600,55600,478496400,37800,450685900,28700,274883600,8100,244408900,128946600
81250,313200,186100,16800,48700,42300,23500,18700,425453300,91900,76000,14200,427339100,41100,436680700,37300,445347100,29700,292782900,7900,244884100,133024500
81500,302500,199900,17700,61000,42900,28900,18500,452546100,94100,76600,13200,404477100,42800,463577800,34600,482978100,30000,289807400,7600,250467000,130707100
81750,308500,233600,19800,56200,39800,27900,19500,425298800,84600,78000,14000,446600200,39400,462986700,36700,503649100,29600,276797000,7800,249808600,133825200
82000,727300,269900,19100,62900,39700,32800,23900,430177300,97000,74800,14600,437368300,41500,493468900,37000,502624400,30700,276037300,7900,247412600,132665700
82250,1115800,244600,17100,49000,41800,35000,25100,448080300,89100,77500,14100,415005400,40000,439843200,39100,470356100,30000,280731500,8200,254012900,132047300
82500,893800,261300,18500,100000,39500,41100,26200,437678100,90600,77100,12300,440528400,39900,440938900,36900,506801900,28600,276715000,7800,249653700,133847900
82750,468900,220300,18500,242500,41700,38900,21100,440224600,88100,81800,13500,423145700,41200,483459900,35000,457935700,30200,279655600,9100,254342200,132645200
83000,453200,201500,18000,115900,40400,47500,22200,427229100,93900,82600,12500,461607300,42600,506579000,36200,469318500,29500,280820000,9300,251140300,132277100
83250,422200,197000,18500,50100,39700,56200,25500,462779300,98100,83100,12800,452631400,39700,524561600,39300,497598600,28000,280413300,9600,254098700,133859800
83500,371200,216700,17100,51400,40800,27100,20300,442521000,92200,80900,13400,485609200,39600,544762000,38400,495900600,28700,279256500,9600,255773100,136908900
83750,378900,252200,18000,125000,40200,23700,22700,460801500,89800,104200,13500,416836800,43200,501105100,35600,496277900,29300,284795100,15600,264052500,135305800
84000,492700,232800,15900,124500,39600,95900,26800,455340800,94400,98700,13600,448476900,42100,500569500,36300,485449100,29400,294469100,18900,258463400,135026100
84250,358600,294800,18400,41800,39800,59400,22300,448625300,90400,89800,12100,453584700,41700,491478800,38300,464162700,29700,284062000,24200,269464700,136405500
84500,414300,226000,17100,45300,39800,39700,24900,456430500,96700,103000,13000,439237300,40800,557605000,40700,541692900,29400,290930500,20800,258895000,138270100
84750,384400,201200,16700,48500,37700,15800,21400,468141300,86800,93700,11800,453016800,39700,506984500,37100,511954000,28900,290056400,21500,260173300,137461100
85000,323500,202300,17700,41300,40600,15200,20600,486373700,91700,95900,13100,445395800,41200,543728000,36000,558986100,32200,287041200,17500,263707800,139115500
85250,320200,200300,17900,41100,55100,15500,22200,452146700,11810800,82500,13800,498303600,41900,500381500,38300,474950400,28700,289288500,20900,267094400,145036500
85500,617100,204200,19700,42400,40500,16200,21900,469261300,69500,89800,7200,471033800,38300,507265300,37900,527533500,27900,301217800,23200,263324500,140134400
85750,370300,189600,18400,33100,38700,32000,35400,456091500,70900,86000,7800,472581000,39900,496067900,40300,524076300,30000,296762200,26100,264298600,139637700
86000,367200,181500,18200,35000,40800,97200,39300,472652300,69800,113600,7100,477615100,42200,500465400,36100,559881500,29300,293174700,32900,268062000,138906200
86250,382400,176800,18300,38300,40100,96600,37800,462781500,71000,111200,7600,449296400,42600,542747100,34300,536359600,27800,293407200,29800,266284600,141452600
86500,421200,181300,19800,40700,41200,58700,36200,486917700,68600,257800,6500,471241600,40500,548988100,38800,506067700,28000,297694000,28600,266822200,141632800
86750,381200,178200,18600,40300,39700,66300,38000,465962300,70300,150700,7700,506115500,41400,598736100,40600,508937600,30800,294831000,21500,267785700,141444200
87000,381000,185100,19600,40500,40400,20100,41800,470780900,72100,226500,6800,456250600,39900,790315600,37200,546398700,29200,296479500,35700,267787300,141817100
87250,426700,177300,18600,37400,39900,14900,42100,469001900,74500,300500,8100,509071500,41500,640376200,34900,505880500,30000,296813400,22500,271523200,145687700
87500,354500,177900,19900,37300,40100,13700,35800,468630600,63000,172700,7900,509273600,41900,659842100,39900,557570900,28000,299152900,9600,271019000,140628200
87750,435300,179800,20400,49400,40400,17100,33900,480741400,67900,134000,7900,478610500,41300,705456400,41000,565784800,29100,298386200,9100,271401400,143167600
88000,357100,183700,18800,43800,38700,15900,39500,490092400,90300,71800,7400,484428200,50400,756810900,36100,527899200,28900,304442500,9100,274843000,143613300
88250,405500,193000,20000,44500,43400,15500,31600,485303700,69800,65400,7000,501358500,44600,762730800,36900,575923400,29100,308902000,9800,274028700,143387900
88500,394100,214500,18500,39300,39500,17600,36700,480152000,67600,66100,7300,515789900,40700,896854900,36700,499391400,29100,299687200,28800,275130100,144711100
88750,398000,253000,19000,37900,41000,15200,31000,496101600,68600,67000,7500,474715500,42800,873800400,39500,564602000,30300,303375600,8400,278115800,144832500
89000,341500,183100,19000,36700,39000,15600,71600,485557500,70800,64600,6900,487468900,40200,794630700,85500,586659400,29300,306139800,10300,279393400,146512500
89250,339700,217800,18800,40700,39400,16500,29400,490888200,67900,64700,8500,505675200,41500,776790500,53700,612101800,30700,303818400,24000,279358400,146757600
89500,387400,238000,19200,46000,38700,15500,40500,550308200,68100,67000,6900,508888400,41000,800206000,34900,546695900,98500,306197800,10000,282245300,149266500
89750,377000,160700,19300,46900,40900,16000,124200,498495500,71400,66100,7500,489932600,42200,722901600,39600,629998800,73300,307459100,9700,276803100,148760800
90000,388000,160200,18300,61600,51700,16500,159100,485507600,67600,68700,6600,515678000,39500,708617200,38500,644136100,64900,311656300,9300,283670600,150559300
90250,403600,160700,18300,40700,41700,16100,230500,505776900,69700,67700,7900,486270200,42600,873441100,36100,577330000,63400,308337600,9700,281108400,148773800
90500,552500,169500,19600,54700,39100,16200,90000,486181400,68500,67000,7000,510925500,39300,730732800,38200,584047200,49900,307426000,8500,288821000,151390800
90750,335500,158900,17400,68600,41300,18900,55600,514776200,73900,65900,7000,508408100,43400,717111200,38400,608866100,56700,314718100,7400,284609800,151314500
91000,417600,163500,16800,51200,40300,15800,59000,506193700,72700,65300,7500,489549400,39500,664890100,41900,559837600,36700,309833700,9100,284554800,152313100
91250,297400,165200,18100,51100,36300,16100,46800,525017700,69400,68100,8100,562596500,41800,687108400,37000,589415400,35300,313296600,28500,286504300,151025600
91500,445700,163800,16100,45700,39400,16400,32300,502682600,69800,69400,7800,560086200,41900,704254200,35500,612212400,39100,313789200,12200,286625600,151262000
91750,373200,161400,17900,44300,37300,16500,25600,508347800,68700,65000,7100,534323100,42600,726985900,37700,624301400,36300,312808300,9000,288839900,152015400
92000,399100,161500,19100,45500,39500,18200,30300,511473400,68300,67900,8200,495303000,62000,715328400,43700,560199300,36900,311471900,7900,293520400,153310100
